City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Digapahandi,IN,80.96,overcast clouds,19.3667,84.5833,Tiffin Hotel
540,Sechura,PE,74.32,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
542,Liuhe,CN,71.42,few clouds,42.2401,125.7172,Grain Hostel
543,Nouadhibou,MR,67.62,few clouds,20.931,-17.0347,El Medina
545,Zhezkazgan,KZ,76.51,overcast clouds,47.8043,67.7144,Hotel Zumrat
550,Conde,BR,72.86,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
551,Zhangjiakou,CN,69.78,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
552,Honiara,SB,83.53,broken clouds,-9.4333,159.95,Heritage Park Hotel
553,Majene,ID,74.43,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
558,Kudahuvadhoo,MV,82.58,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
561,Alanya,TR,77.13,clear sky,36.5438,31.9998,Panorama Hotel
562,Garowe,SO,79.48,overcast clouds,8.4054,48.4845,Curubo Hotel
563,Sampit,ID,73.6,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
564,Kalemie,CD,69.04,scattered clouds,-5.9475,29.1947,Mahobilali
565,Kalabo,ZM,64.36,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
566,Santa Rosa Del Sur,CO,82.89,scattered clouds,7.9644,-74.0544,Hotel hoquidea del sur
567,Sompeta,IN,82.17,overcast clouds,18.9333,84.6,Netaji's Home
569,Hastings,GB,67.32,clear sky,50.8552,0.5729,Zanzibar Hotel
571,Trenggalek,ID,72.27,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
572,Xuzhou,CN,73.44,light rain,34.1805,117.1571,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
573,Nador,MA,73.65,clear sky,35.174,-2.9287,Hôtel La Giralda
575,Praia Da Vitoria,PT,70.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
577,Seydi,TM,83.23,clear sky,39.4816,62.9137,Seydi oteli
579,Faya,SA,72.12,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
580,Trebinje,BA,68.36,few clouds,42.7119,18.3442,Hotel Aćimović
581,Cap-Aux-Meules,CA,64.13,overcast clouds,47.3821,-61.8597,Auberge Madeli
582,Dossor,KZ,84.38,scattered clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
583,Nerchinsk,RU,66.02,overcast clouds,51.9833,116.5833,Transbaikal N. Hotel
584,Bagdarin,RU,62.31,broken clouds,54.4333,113.6,Gostevoy Dom Terem
585,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
586,Pamekasan,ID,76.71,scattered clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
588,Kupang,ID,70.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
589,Port Hardy,CA,61.03,overcast clouds,50.6996,-127.4199,Airport Inn
590,Plyussa,RU,62.87,clear sky,58.4308,29.3654,Service hotel
593,Lokoja,NG,74.08,overcast clouds,7.8024,6.743,Hotel Charvid
595,Araguacu,BR,82.49,clear sky,-12.9306,-49.8264,Hotel Tocantins
